Hariyama,0.334375
Tangrowth,0.335625
Ledyba,0.3375
Donphan,0.33875
Gorebyss,0.34
Huntail,0.3425
Noibat,0.34375
Regirock,0.345625
Aggron,0.346875
Zubat,0.34875
Budew,0.349375
Diancie,0.35
Baltoy,0.353125
Ducklett,0.353125
Lillipup,0.35375
Pidgey,0.355625
Ekans,0.355625
Dwebble,0.356875
Bunnelby,0.35875
Eevee,0.35875
Psyduck,0.359375
Kabuto,0.36
Lampent,0.360625
Combusken,0.36125
Rhyperior,0.36125
Gothorita,0.361875
Pignite,0.361875
Swalot,0.361875
Weepinbell,0.361875
Pumpkaboo Small Size,0.3625
Omastar,0.364375
Nidorina,0.364375
Gourgeist Super Size,0.364375
Ampharos,0.36625
Darmanitan Zen Mode,0.366875
Bouffalant,0.3675
Relicanth,0.3675
Venipede,0.36875
Exeggutor,0.371875
Mega Abomasnow,0.371875
Crawdaunt,0.3725
Cacturne,0.37375
Trevenant,0.37375
Golurk,0.375625
Axew,0.3775
Torterra,0.380625
Cranidos,0.383125
Quilladin,0.38375
Machamp,0.385
Ursaring,0.38625
Croconaw,0.391875
Zweilous,0.391875
Pichu,0.39375
Wartortle,0.39625
Zigzagoon,0.4
Aurorus,0.4025
Scrafty,0.405625
Mime Jr.,0.4075
Mega Steelix,0.409375
Pangoro,0.41125
Starly,0.4125
Meditite,0.4125
Spoink,0.41375
Fennekin,0.41625
Tynamo,0.41625
Horsea,0.416875
Barboach,0.416875
Riolu,0.419375
Vanillish,0.420625
Chimchar,0.42125
Wailmer,0.421875
Karrablast,0.4225
Pawniard,0.42375
Vullaby,0.42375
Farfetch'd,0.424375
Spinda,0.424375
Nuzleaf,0.425
Rufflet,0.425
Herdier,0.425
Clawitzer,0.425
Whiscash,0.425625
Luxio,0.425625
Larvesta,0.425625
Bayleef,0.42625
Growlithe,0.42625
Masquerain,0.426875
Dewott,0.426875
Jellicent,0.426875
Ivysaur,0.426875
Clefable,0.426875
Maractus,0.426875
Tangela,0.426875
Abomasnow,0.428125
Sliggoo,0.428125
Aegislash Shield Forme,0.428125
Porygon2,0.42875
Wailord,0.429375
Empoleon,0.43
Magnezone,0.430625
Weezing,0.43125
Sylveon,0.431875
Lapras,0.433125
Swampert,0.4375
Fletchling,0.440625
Goldeen,0.455
Snivy,0.455625
Magikarp,0.460625
Surskit,0.46375
Rampardos,0.465625
Feebas,0.465625
Cottonee,0.47
Tympole,0.471875
Smoochum,0.4725
Vulpix,0.475
Panpour,0.47625
Pansage,0.47625
Pansear,0.47625
Electrike,0.47875
Cyndaquil,0.480625
Charmander,0.480625
Joltik,0.48125
Skorupi,0.48125
Sandile,0.481875
Purrloin,0.481875
Remoraid,0.481875
Trubbish,0.4825
Houndour,0.4825
Dustox,0.483125
Aegislash Blade Forme,0.48375
Zorua,0.484375
Tyranitar,0.486875
Finneon,0.486875
Carvanha,0.4875
Nidorino,0.488125
Kricketune,0.488125
Tranquill,0.48875
Alomomola,0.48875
Chimecho,0.49
Mienfoo,0.49
Beautifly,0.490625
Pelipper,0.490625
Roselia,0.490625
Walrein,0.49125
Umbreon,0.49125
Seviper,0.49125
Heatmor,0.491875
Sandslash,0.491875
Banette,0.4925
Vaporeon,0.4925
Gothitelle,0.4925
Chesnaught,0.495
Glaceon,0.495
Mothim,0.495625
Chinchou,0.499375
Scizor,0.5
Fraxure,0.503125
Emboar,0.505
Flareon,0.509375
Lanturn,0.509375
Combee,0.51
Drilbur,0.516875
Espurr,0.52125
Hypno,0.521875
Mega Aggron,0.523125
Seaking,0.525625
Exploud,0.526875
Smeargle,0.5275
Barbaracle,0.52875
Helioptile,0.530625
Spearow,0.535625
Gogoat,0.535625
Tentacool,0.5375
Treecko,0.54
Palpitoad,0.541875
Drifloon,0.5425
Onix,0.54375
Natu,0.544375
Mankey,0.548125
Gourgeist Large Size,0.548125
Butterfree,0.549375
Rattata,0.550625
Vibrava,0.550625
Delcatty,0.55125
Froakie,0.5525
Pidgeotto,0.553125
Noctowl,0.553125
Lunatone,0.554375
Mantine,0.555
Skarmory,0.55625
Castform,0.55625
Archen,0.556875
Mightyena,0.556875
Solrock,0.556875
Dragonair,0.5575
Poliwrath,0.558125
Dewgong,0.558125
Politoed,0.558125
Hitmontop,0.558125
Victreebel,0.559375
Ludicolo,0.559375
Breloom,0.56
Samurott,0.56
Bibarel,0.560625
Magneton,0.56125
Bisharp,0.5625
Woobat,0.564375
Cloyster,0.564375
Luxray,0.56625
Tyrantrum,0.5725
Honchkrow,0.5725
Litleo,0.575
Volcanion,0.578125
Slurpuff,0.583125
Minccino,0.583125
Hoopa Confined,0.585
Stunky,0.589375
Braixen,0.589375
Malamar,0.59125
Metagross,0.593125
Krokorok,0.594375
Blitzle,0.594375
Deerling,0.594375
Delibird,0.59625
Doduo,0.59875
Seismitoad,0.6025
Beedrill,0.605
Anorith,0.605
Garbodor,0.606875
Klefki,0.6075
Absol,0.608125
Claydol,0.608125
Mega Swampert,0.609375
Nidoqueen,0.610625
Florges,0.610625
Hitmonchan,0.613125
Kingler,0.613125
Gastly,0.61375
Wingull,0.615625
Watchog,0.619375
Diggersby,0.620625
Skiploom,0.62375
Heatran,0.628125
Feraligatr,0.63
Abra,0.631875
Blastoise,0.6325
Mega Banette,0.63375
Mega Scizor,0.635625
Staravia,0.639375
Charmeleon,0.6425
Quilava,0.6425
Medicham,0.643125
Grumpig,0.64375
Drifblim,0.644375
Mega Blastoise,0.645
Vanilluxe,0.6475
Braviary,0.64875
Mandibuzz,0.649375
Monferno,0.649375
Arbok,0.65
Taillow,0.650625
Stoutland,0.650625
Togekiss,0.650625
Shiftry,0.65125
Altaria,0.65125
Glalie,0.65125
Phione,0.65125
Kabutops,0.651875
Chandelure,0.651875
Gardevoir,0.651875
Gallade,0.653125
Meganium,0.653125
Blaziken,0.65375
Mamoswine,0.65375
Venusaur,0.654375
Mesprit,0.655625
Gyarados,0.656875
Mega Venusaur,0.656875
Mega Altaria,0.656875
Milotic,0.656875
Ledian,0.658125
Goodra,0.658125
Mega Heracross,0.65875
Dragonite,0.661875
Gabite,0.6625
Staryu,0.666875
Meowth,0.67
Glameow,0.670625
Magby,0.67125
Servine,0.6725
Mega Gyarados,0.6775
Buizel,0.681875
Illumise,0.6825
Buneary,0.683125
Aipom,0.685625
Fletchinder,0.685625
Mega Tyranitar,0.68625
Poliwag,0.68625
Magmortar,0.689375
Skuntank,0.690625
Diglett,0.691875
Gligar,0.693125
Volbeat,0.69375
Luvdisc,0.69375
Cherrim,0.69375
Misdreavus,0.695
Seadra,0.695625
Gourgeist Average Size,0.696875
Qwilfish,0.6975
Sawk,0.698125
Heracross,0.69875
Pinsir,0.7
Toxicroak,0.7
Nidoking,0.700625
Cresselia,0.700625
Suicune,0.70125
Girafarig,0.701875
Pikachu,0.703125
Kingdra,0.703125
Stantler,0.70375
Golduck,0.705
Articuno,0.7075
Frost Rotom,0.714375
Heat Rotom,0.714375
Wash Rotom,0.714375
Fan Rotom,0.714375
Mow Rotom,0.714375
Voltorb,0.716875
Hitmonlee,0.719375
Excadrill,0.721875
Vivillon,0.723125
Mr. Mime,0.729375
Poliwhirl,0.73125
Furret,0.735
Hoopa Unbound,0.735625
Venomoth,0.74125
Rotom,0.7425
Vigoroth,0.7425
Chatot,0.743125
Lilligant,0.74375
Ponyta,0.74375
Golbat,0.745
Murkrow,0.745625
Lumineon,0.745625
Kangaskhan,0.746875
Minun,0.746875
Zangoose,0.748125
Roserade,0.74875
Klinklang,0.75
Lucario,0.750625
Deoxys Defense Forme,0.75125
Moltres,0.75125
Porygon-Z,0.75125
Meloetta Aria Forme,0.754375
Pachirisu,0.755625
Giratina Altered Forme,0.75625
Kyogre,0.76
Giratina Origin Forme,0.760625
Krookodile,0.76125
Elekid,0.761875
Landorus Therian Forme,0.761875
